@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
11,'2018/04/11 21:21:26:321',4,-0.54403,0.60274,-0.14543,-0.023398,-0.13771,0.60137,2.192,0.20804,-0.51536,-0.23101,-0.80387,0.56901,-5.0234,0.26507,0.47891,-0.59854,0.56132,-1.0905,-0.52587,0.12506,-0.22624,0.24529,-0.45767,0.92619,0.022125,0.34,0.02,0.72,0,0.57
12,'2018/04/11 21:21:29:493',4,-0.84229,0.36512,-0.38841,-0.46118,0.24301,0.32412,1.9009,-0.2263,-0.31335,-1.097,-0.004149,0.62074,-5.0964,0.67418,0.5008,-0.62119,0.51765,-0.44122,-0.14364,0.1913,-0.74608,-0.25903,-0.7801,0.1103,-0.27928,0.34,0.02,0.72,0,0.57
13,'2018/04/11 21:21:31:949',4,0.23166,0.048825,0.29017,-0.76236,0.23411,0.58269,1.5832,0.55082,-0.20978,-0.56694,-0.30596,0.50974,-4.8382,-0.002327,-0.21906,0.23636,0.60195,-0.81947,-0.45199,0.56327,-0.76506,0.036199,-1.0729,0.44869,-0.2744,0.34,0.02,0.72,0,0.57
14,'2018/04/11 21:21:34:398',4,-0.76782,-0.10175,-0.056497,-0.15679,0.17996,0.98034,1.357,0.017597,-0.89097,0.12354,-0.48221,0.69245,-4.1704,-0.10408,-0.24346,-0.53838,0.91981,-1.0339,-1.2133,0.34332,-0.057247,0.281,-0.34447,0.68636,-0.26282,0.34,0.02,0.72,0,0.57
15,'2018/04/11 21:21:40:271',4,-0.16094,0.29999,-0.3513,0.8083,-0.75157,-0.57446,1.4211,0.19174,-0.83364,0.20143,-0.72279,0.4741,-4.8227,0.80053,-0.40494,0.043197,0.33532,0.56144,0.1006,-0.45453,0.058244,0.68865,-0.7402,0.97007,0.15917,0.34,0.02,0.72,0,0.57
16,'2018/04/11 21:21:50:104',4,-0.88979,-0.74363,0.1855,0.4798,0.021047,1.113,0.8961,-0.24408,0.77952,0.22079,0.11942,-0.046751,-4.2026,0.32559,-0.23803,0.17227,0.23866,0.33187,0.7146,0.521,-0.68861,-0.26925,0.99232,0.37772,-0.069561,0.34,0.02,0.72,0,0.6
17,'2018/04/11 21:21:58:159',4,-1.1781,-0.35374,0.219,0.081354,-0.83705,0.30849,1.0904,0.085322,0.42959,0.49294,-0.1423,0.21403,-3.6561,0.86748,-0.23746,-0.18236,0.24201,0.027676,-0.11062,0.18458,-0.8138,-0.31656,0.39529,0.37694,0.25795,0.39,0.02,0.72,0,0.6
18,'2018/04/11 21:22:04:256',4,-1.5812,-0.90289,-0.39335,-0.2816,-0.54299,2.0775,0.50377,-1.21,-1.0117,0.34363,-0.1666,0.48466,-3.7123,0.049556,-0.29875,0.47504,1.0553,0.25171,-0.78451,0.40275,-1.3551,0.078967,0.37114,1.0462,0.69584,0.39,0.02,0.72,0,0.6
19,'2018/04/11 21:22:14:832',4,0.19675,0.84993,-0.40735,-0.79122,-0.43254,1.0784,0.80974,0.012239,-0.017593,-0.27525,0.033504,0.50346,-3.5626,0.70125,1.024,-0.20978,-0.37778,-0.93486,0.5546,0.31131,-0.73793,0.76567,2.1186,-0.40522,0.050475,0.58,0.08,0.72,0,0.6
20,'2018/04/11 21:22:25:024',4,-0.32758,0.14634,0.49409,0.34161,-0.34152,0.11638,0.97545,-0.11533,0.62231,0.099155,0.71008,0.29468,-3.9224,0.22058,0.61609,-0.096445,0.082702,0.20262,0.14968,-0.30828,-0.35875,-0.29814,1.0013,-0.74056,0.84518,0.61,0.08,0.72,0,0.6
21,'2018/04/11 21:23:12:995',5,0.41388,0.022308,0.056536,-0.010503,0.27395,0.71342,1.6414,-0.11188,-0.26249,0.10783,-0.95191,0.40414,-4.6303,-0.18866,0.60344,0.24891,0.36794,-0.50313,-0.48655,-0.21142,0.38759,1.0411,0.42695,0.2866,0.02321,0.01,0.46,0.89,0.31,0.6
22,'2018/04/11 21:23:19:520',5,-0.39924,1.477,0.5593,-0.52056,-0.59706,0.38881,0.85906,-0.58176,-0.27753,0.007191,-0.58545,1.2582,-4.5933,-0.19819,-0.10607,0.29108,0.32156,-0.74413,-0.24847,-0.73223,0.92008,0.86667,1.3361,0.45093,0.6484,0.01,0.46,0.89,0.31,0.6
23,'2018/04/11 21:23:27:508',5,0.12083,1.1161,-0.66525,0.63165,-0.50287,-0.26017,1.5168,-0.14268,-0.42769,-0.32127,-0.17867,0.37368,-4.9869,-0.23196,-0.47214,-0.17522,0.27337,-1.135,0.1358,-0.65561,-0.045803,0.35377,0.38843,0.54691,-0.64695,0.01,0.46,0.89,0.53,0.6
24,'2018/04/11 21:23:30:095',5,-0.4715,-0.012788,0.42421,0.14422,-0.41056,0.64513,1.2634,0.19732,-0.43677,0.33789,-1.0563,-0.11873,-3.8239,-0.27049,0.29457,0.84253,-0.31318,-0.22336,-0.090597,-1.1892,0.34192,0.012377,0.029213,0.55091,0.65967,0.01,0.46,0.89,0.53,0.6
25,'2018/04/11 21:23:35:473',5,0.044072,-0.19031,0.44185,-0.15418,-0.6026,0.04668,1.4741,0.14376,-0.72328,0.43288,-1.7557,0.41221,-4.0419,0.40469,-0.17825,0.83272,0.64866,0.12397,-0.17873,-0.59851,0.67779,1.0177,-0.31664,0.18662,-0.17645,0.01,0.46,0.89,0.53,0.16
26,'2018/04/11 21:23:41:435',5,0.13845,-0.84875,-0.19988,0.023838,0.73097,0.79582,1.3318,-1.6911,-0.78258,0.8303,-0.20984,0.098346,-2.3652,-1.0249,1.0352,-0.19896,0.59922,-0.50545,-0.22706,0.008633,0.98993,0.88477,0.5652,0.13565,-0.10142,0.01,0.46,0.89,0.53,0.16
27,'2018/04/11 21:25:22:642',6,-0.47182,0.098669,-0.28168,0.7745,0.14224,1.1362,0.47901,-1.1118,1.1785,0.086896,0.49625,-0.082378,-2.345,-0.59574,0.16881,0.028936,1.016,0.2815,1.1467,0.8477,-1.3118,-0.096071,0.37522,0.49462,0.25134,0.14,0.07,1,0.27,0.68
28,'2018/04/11 21:25:24:351',6,-0.66758,-0.16968,-0.36817,0.77823,-0.51841,0.93325,0.5601,-1.1858,0.43399,1.4617,0.8187,0.18549,-4.4468,-0.20591,0.40578,0.20704,1.0087,0.57129,0.59376,0.43941,-0.86935,-0.12808,0.85803,0.21108,0.88503,0.14,0.07,1,0.27,0.68
29,'2018/04/11 21:25:31:375',6,-0.82886,0.25865,-0.41769,0.54253,-0.337,-0.038522,1.0098,-0.70094,0.59289,1.0789,0.73553,-0.56914,-3.3984,-0.58767,-0.019788,-0.42812,0.87643,-0.69666,-0.092366,0.65079,-0.9429,0.53454,-0.67369,0.77235,1.0966,0.14,0.07,1,0.27,0.68
30,'2018/04/11 21:25:38:324',6,-1.4532,0.25594,0.081679,0.49081,-0.059128,0.63656,1.4566,-1.0607,0.47903,0.47616,0.85016,-0.40645,-3.5843,-0.5237,0.46344,-0.50906,1.2432,-0.54121,0.19375,0.35703,-0.9885,-0.69335,-0.33998,0.71827,1.0704,0.14,0.07,1,0.12,0.68
31,'2018/04/11 21:25:47:212',6,-0.52575,-0.229,0.31721,1.1202,-0.11358,0.43399,0.94626,-1.4063,0.27702,0.48609,0.88023,-0.94472,-3.2762,-1.2963,-0.002603,-0.43238,1.0814,-0.50706,0.4295,0.37386,-0.67564,0.44146,0.082967,1.0749,0.84617,0.14,0.07,1,0.12,0.68
